II,IV,I,N,K,I,8,3,12,UKW-A,"PQ, YB, XT, SI, UZ, OL, HJ, WV, NA"
ERITI,NAVEY,0
EDDOE,TTINA,0
DOLOR,VSPQP,0
PREHE,ZIHKR,0
DENTS,NCVVV,0
MAGNA,OECFF,0
ESERU,CLGQM,0
IATUR,NFVLL,0
ORINR,BPTPG,0
ATATN,NJNMQ,0
NONPR,QRFQH,0
UNTIN,NCZCO,0
MDOLO,GBZYB,0
DIPIS,XKTZR,0
DIDUN,QQOYZ,0
INCUL,CONGI,0
SCING,RAOKD,0
ALIQU,NKJNN,0
COLAB,VAZJA,0
LORSI,YBOYU,0
NCULP,ONGIQ,0
DERIT,SNAVE,0
OFFIC,IQDRW,0
REDOL,BJZCS,0
ANIMI,MTLUR,0
ESTLA,ZTMVR,0
IDATA,OFNJN,0
ATDUI,NXLIK,0
APARI,FYDMN,0
CCAEC,NFJZX,0
OREEU,IWHUE,0
UTEIR,ONPXX,0
AUTEN,MLGHW,0
OLUPT,QBFFS,0
UTENI,LGHWM,0
TEMPO,XCYTC,0
PTEUR,THSLZ,0
TRUDE,OBZKV,0
DESER,ICLGQ,0
LPAQU,IQTCQ,0
ORINC,CGLAR,0
ICIAD,RWGGI,0
ONPRO,RFQHC,0
TATEV,SFJBQ,0
EQUAT,RCXNX,0
REEUF,WHUEN,0
ITATI,GYFCO,0
REETD,DKDQV,0
QUAUT,RTMLG,0
URSIN,LZXQF,0
BORIS,ARQTW,0
LOREE,BIWHU,0
INREP,TPGXZ,0
CATCU,XKXHE,0
NISIU,WOXXE,0
VELIT,QDQOL,0
CONSE,AMTHR,0
VOLUP,OQBFF,0
AGNAA,ECFFY,0
MQUIS,DVZCA,0
UAUTE,TMLGH,0
ETURA,PJFYP,0
OREMA,QPLOE,0
SEDDO,JTTIN,0
DUISA,LIKWH,0
SIUTA,XXEHN,0
IDUNT,QOYZW,0
QUISN,VZCAT,0
SECTE,VLIAP,0
CAECA,FJZXK,0
TMOLL,MTFYR,0
NSEQU,THRCX,0
STLAB,TMVRQ,0
REMIP,LYKHD,0
SMODT,JEZTX,0
INCID,LARZQ,0
EVELI,BQDQO,0
AMCOL,DQVAZ,0
TANIM,XMTLU,0
LLITA,YRDXM,0
XCEPT,PSOTH,0
ISNIS,TWWOX,0
TEURS,HSLZX,0
QUIPE,NNBUT,0
SNISI,WWOXX,0
NREPR,PGXZI,0
ORSIT,BOYUK,0
NVOLU,HOQBF,0
IPSUM,HDNVG,0
TIONU,COHSR,0
NIMAD,WMWIO,0
FUGIA,NDHPV,0
ELITS,YKGDJ,0
TAMET,KBBHQ,0
MIDES,URXZT,0
TSUNT,VVNCZ,0
RSITA,OYUKB,0
USMOD,NJEZT,0
UTLAB,HBTRQ,0
RITIN,AVEYH,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
